		Target 1																	Target 2																
117-119	Une vague d’énergie noire s’abat sur le bras du bouclier de la cible, corrodant le métal, la chair et les os.	T1	Cible portant un bouclier	Cible : +9 Dégâts, +3 Dégâts d’Âme, Sonnée, bouclier détruit.	-	9	-	-	-	stunned	-	-	soul	3	-	-	-	-	T2	Cible ne portant pas de bouclier	Cible : +16 Dégâts, +4 Dégâts d’Âme, Sonnée, -50 aux actions, bras inutilisable.	-	16	-50	-	serious	stunned	-	-	soul	4	-	-	-	-
120	Le coup s’abat sur les cervicales.	T1	Cible portant une armure Rigide protégeant le cou	Cible : +9 Dégâts, +4 Dégâts d’Âme, Saignement (6 PV), Sonnée.	-	9	-	-	-	stunned	-	-	bleeding	6	-	soul	4	-	T2	Cible ne portant pas d'armure Rigide protégeant le cou	Cible : tombe au sol en crachant du sang, Mourante, meurt après 6 Rounds d’une abominable agonie.	-	-	-	-	-	prone	-	-	dying	-	6	-	-	-
121-126	Une explosion d’énergie maléfique consume entièrement le bas de la jambe de la cible, ne laissant derrière elle qu’un moignon flétri.	T1	-	Cible : +14 Dégâts, À Terre, Sonnée, -70 aux actions, jambe inutilisable.	-	14	-70	-	crippling	stunned	-	-	prone	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
127-129	Le coup est si puissant qu’il détruit l’épaule de la cible.	T1	-	Cible : +18 Dégâts, +3 Dégâts d’Âme, Saignement (6 PV), -30 aux actions, bras inutilisable.	-	18	-30	-	serious	bleeding	6	-	soul	3	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
130	Le visage de la cible est atrocement mutilé.	T1	Cible portant un heaume (avec visière)	Cible : +15 Dégâts, +3 Dégâts d’Âme, les deux yeux sont crevés.	-	15	-	-	-	blind	-	-	soul	3	-	-	-	-	T2	Cible ne portant pas de heaume (avec visière)	Cible : Mourante, meurt après 5 Rounds, les énergies sombres dévorent son visage ; lancez 1D100 : sur 1-50, le cadavre de la cible se relève le jour suivant sous la forme d’un Laquais Mort-Vivant.	-	-	-	-	-	dying	-	5	-	-	-	-	-	-
131-136	L’impact du coup se répercute sur les deux bras de la cible.	T1	Cible portant une armure	Cible : +16 Dégâts, +5 Dégâts d’Âme, Sonnée, -40 aux actions, laisse tomber ce qu’elle tient.	-	16	-40	-	serious	stunned	-	-	soul	5	-	-	-	-	T2	Cible ne portant pas d’armure	Cible : +6 Dégâts d’Âme, inconscience, les deux bras sont estropiés.	-	-	-	-	-	inconscious	-	-	soul	6	-	prone	-	-
137-140	La cible fixe avec incrédulité la masse de chair pourrie qui remplace sa jambe, puis s’écroule au sol.	T1	-	Cible : Mourante, meurt après 8 Rounds.	-	-	-	-	-	dying	-	8	prone	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
141-146	L’abdomen de la cible explose dans une gerbe de sang noir et putride.	T1	-	Cible : +6 Dégâts d’Âme, Saignement (15 PV), Sonnée.	-	-	-	-	-	stunned	-	-	bleeding	15	-	soul	6	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
147-149	Des lances de ténèbres pures se fichent dans les flancs de la cible, causant de terribles dommages aux organes internes.	T1	-	Cible : inconsciente, Mourante, meurt après 4 Rounds.	-	-	-	-	-	dying	-	4	inconscious	-	-	prone	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
150	La cible tombe au sol en hurlant, les ténèbres consumant son âme.	T1	-	Cible : Mort instantanée, le corps se relève en tant que Laquais Mort-Vivant en 1d5 Rounds.	-	-	-	-	-	dead	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
