		Target 1																	Target 2																
117-119	Le froid gèle les pieds de la cible.	T1	Cible portant des bottes lourdes	Cible : +5 Dégâts, À Terre, Sonnée, bottes détruites.	-	5	-	-	-	stunned	-	-	prone	-	-	-	-	-	T2	Cible ne portant pas de bottes	Cible : +20 Dégâts, -60 aux actions.	-	20	-60	-	crippling	-	-	-	-	-	-	-	-	-
120	Le blizzard gelé frappe la cible en plein visage.	T1	Cible portant des vêtements épais couvrant la tête	Cible : +12 Dégâts, Saignement (2 PV), Sonnée, -20 aux actions.	-	12	-20	-	minor	stunned	-	-	bleeding	2	-	-	-	-	T2	Cible ne portant pas de vêtement épais couvrant la tête	Cible : +12 Dégâts, Saignement (2 PV), Sonnée, -20 aux actions, aveugle, coma.	-	12	-20	-	minor	bleeding	2	-	inconscious	-	-	blind	-	-
121-126	Le froid referme ses mâchoires de glace sur le bras de la cible (1d10 : 1-5 bras d’arme, 6-10 bras du bouclier).	T1	Cible portant une armure ou des vêtements épais	Cible : +10 Dégâts, Saignement (3 PV), Sonnée, lâche tout ce qu’elle tient.	-	10	-	-	-	stunned	-	-	bleeding	3	-	-	-	-	T2	Cible ne portant pas d'armure ou de vêtement épais	Cible : bras gelé, brisé et inutilisable, inconscience, -50 aux actions.	-	-	-50	-	serious	inconscious	-	-	prone	-	-	-	-	-
127-129	La cible inhale un air beaucoup trop glacial.	T1	-	Cible : +15 Dégâts, Sonnée, effectue un JdS-R contre un Niveau d’Attaque de 10 et, en cas d’échec, Mourante, meurt après 6 Rounds par congélation des fluides vitaux.	-	15	-	-	-	stunned	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
130	Le souffle glacial concentré sur le torse gèle la poitrine, brise les côtes et congèle le coeur et les poumons de la cible.	T1	-	Cible : Mourante, meurt après 3 Rounds.	-	-	-	-	-	dying	-	3	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
131-136	Le froid intense enserre la poitrine de la cible.	T1	Cible portant une armure ou des vêtements épais	Cible : +10 Dégâts, À Terre, Sonnée.	-	10	-	-	-	stunned	-	-	prone	-	-	-	-	-	T2	Cible ne portant pas d'armure ou de vêtement épais	Cible : Mourante, meurt après 10 Rounds d’une insuffisance cardio-respiratoire.	-	-	-	-	-	dying	-	10	-	-	-	-	-	-
137-140	La cible, engloutie par le froid, commence à geler sur place.	T1	Cible portant une armure ou des vêtements épais	Cible : +20 Dégâts, Sonnée, -30 aux actions.	-	20	-30	-	serious	stunned	-	-	-	-	-	-	-	-	T2	Cible ne portant pas d'armure ou de vêtement épais	Cible : Mourante, meurt après 12 Rounds passés à frissonner et à exhaler le peu de chaleur restant dans le corps.	-	-	-	-	-	dying	-	12	-	-	-	-	-	-
141-146	Les deux jambes de la cible gèlent.	T1	-	Cible : +30 Dégâts, À Terre, Sonnée, -100 aux actions.	-	30	-100	-	crippling	stunned	-	-	prone	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
147-149	La tête de la cible est gelée. Bien conservée, mais tout de même morte.	T1	-	Cible : mort instantanée.	-	-	-	-	-	dead	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
150	La cible est changée en statue de glace, tombe au sol et se brise en mille morceaux.	T1	-	Cible : mort instantanée.	-	-	-	-	-	dead	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
