		Target 1																	Target 2																
110	Votre cible est complètement immobilisée au sol, mais est toujours consciente.	T1	-	Cible : peut essayer de se libérer à -60 ; si l’attaquant maintient la saisie : 8 Dégâts par Round.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
111-116	Votre puissante prise déséquilibre la cible.	T1	Cible portant une armure Rigide	Cible : +8 Dégâts, Sonnée, Bloquée, À Terre ; si l’attaquant maintient la saisie : 4 Dégâts par Round.	-	8	-	-	-	stunned	-	-	prone	-	-	held	-	-	T2	Cible ne portant pas d’armure Rigide	Cible : +16 Dégâts, Sonnée, Bloquée, À Terre, -30 aux actions, côtes fêlées ; si l’attaquant maintient la saisie : 4 Dégâts par Round.	-	16	-30	special	serious	stunned	-	-	held	-	-	prone	-	-
117-119	Votre prise au bras d’arme brise net le poignet.	T1	-	Cible : +10 Dégâts, Sonnée, désarmée, -50 aux actions ; si l’attaquant maintient la saisie : +4 Dégâts par Round.	-	10	-	-	-	stunned	-	-	disarmed	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
120	Vous garrottez le cou de la cible.	T1	Cible portant une armure Rigide protégeant le cou	Cible : Sonnée, -60 aux actions jusqu’à ce qu’elle se libère.	-	-	-60	special	crippling	stunned	-	-	disarmed	-	-	-	-	-	T2	Cible ne portant pas d'armure Rigide protégeant le cou	Cible : strangulation, Mourante, meurt après 6 Rounds.	-	-	-	-	-	dying	-	6	-	-	-	-	-	-
121-126	Votre prise désarticule le bras et projette l’adversaire au sol.	T1	-	Cible : +12 Dégâts, Sonnée, À Terre, bras inutilisable, la cible lâche tout ce qu’elle tenait ; si l’attaquant maintient la saisie : 8 Dégâts par Round.	-	12	-	-	-	stunned	-	-	prone	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
127-129	La cible est prise au cou par l’arrière.	T1	-	Cible : +5 Dégâts, Sonnée ; si l’attaquant maintient la saisie : 5 Dégâts par Round, -40 aux actions.	-	5	-40	-	serious	stunned	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
130	Vous bloquez fermement le cou de la cible.	T1	-	Cible : Sonnée, -60 aux actions, perd connaissance en 6 Rounds si ne parvient pas à se libérer.	-	-	-60	-	crippling	stunned	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
131-136	Le pied de la cible est enchevêtré, la cible tombe mal.	T1	-	Cible : +12 Dégâts, Sonnée, arme et bras brisés, -50 aux actions.	-	12	-50	-	serious	stunned	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
137-140	La cible est agrippée au niveau de la ceinture, projetée dans les airs, et retombe sur la tête.	T1	Cible portant un casque	Cible : +12 Dégâts, Sonnée, -30 aux actions, entorse cervicale.	-	12	-30	-	serious	stunned	-	-	-	-	-	-	-	-	T2	Cible ne portant pas de casque	Cible : crâne enfoncé et nuque brisée, mort instantanée.	-	-	-	-	-	dead	-	-	-	-	-	-	-	-
141-146	Les jambes de la cible sont enchevêtrées et la cible tombe.	T1	-	Cible : Inapte, -80 aux actions à son réveil en raison de multiples fractures aux jambes.	-	-	-80	-	crippling	incapacitated	-	-	prone	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
147-149	La cible est complètement enchevêtrée et sans défense, à la merci de l’attaquant.	T1	-	-	-	-	-	-	-	held	-	-	-	-	-	-	-	-	T2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
150	La cible est saisie si fortement à la tête que son crâne en est écrasé.	T1	Cible portant un casque : coma.	Cible : coma.	-	-	-	-	-	incapacitated	-	-	inconscious	-	-	prone	-	-	T2	Cible ne portant pas de casque	Cible : mort instantanée.	-	-	-	-	-	dead	-	-	-	-	-	-	-	-
